category,trigger,include,scope,notes
enemy_runtime,LIZTROOP|LIZTROOPRUNNING|LIZTROOPSHOOT|LIZTROOPJETPACK|LIZTROOPONTOILET|LIZTROOPDUCKING,LIZTROOP..LIZTROOP+71|HEADJIB1..LEGJIB1+2,map,LIZTROOP family runtime frames
enemy_runtime,NEWBEAST|NEWBEASTSTAYPUT,NEWBEAST..NEWBEAST+89,map,NEWBEAST family runtime frames
enemy_runtime,SHARK|BOSS1|BOSS2|BOSS3,SHARK..SHARK+29|BOSS1..BOSS1+29|BOSS2..BOSS2+29|BOSS3..BOSS3+29,map,BOSS or SHARK runtime frames
enemy_runtime,OCTABRAIN|OCTABRAINSTAYPUT|COMMANDER|COMMANDERSTAYPUT,OCTABRAIN..OCTABRAIN+37|COMMANDER..COMMANDER+37,map,OCTABRAIN or COMMANDER runtime frames
enemy_runtime,RECON,RECON..RECON+12,map,RECON runtime frames
enemy_runtime,PIGCOP|PIGCOPDIVE,PIGCOP..PIGCOP+60,map,PIGCOP runtime frames
enemy_runtime,LIZMAN|LIZMANSPITTING|LIZMANJUMP|LIZMANFEEDING,LIZMAN..LIZMAN+79|LIZMANHEAD1..LIZMANLEG1+2,map,LIZMAN runtime frames
enemy_runtime,DRONE,DRONE..DRONE+9,map,DRONE runtime frames
runtime_state,FANSPRITE|FANSHADOW,FANSPRITEBROKE|FANSHADOWBROKE,map,Fan sprite broken states
runtime_state,NUKEBUTTON,143..145,map,Nuke button punch sequence
runtime_state,TOILET|STALL|HYDRENT,TOILETBROKE|STALLBROKE|TOILETWATER..TOILETWATER+3|BROKEFIREHYDRENT,map,Hydrent/toilet/stall broken + water states
runtime_state,ACCESSSWITCH|SLOTDOOR|LIGHTSWITCH|SPACELIGHTSWITCH|SPACEDOORSWITCH|FRANKENSTINESWITCH|LIGHTSWITCH2|POWERSWITCH1|LOCKSWITCH1|POWERSWITCH2|DIPSWITCH|DIPSWITCH2,ACCESSSWITCH2|SLOTDOOR+1|LIGHTSWITCH+1|SPACELIGHTSWITCH+1|SPACEDOORSWITCH+1|FRANKENSTINESWITCH+1|LIGHTSWITCH2+1|POWERSWITCH1+1|LOCKSWITCH1+1|POWERSWITCH2+1|DIPSWITCH+1|DIPSWITCH2+1,map,Switch on/off partner states
runtime_state,SCREENBREAK6|SCREENBREAK7|SCREENBREAK8,SCREENBREAK6|SCREENBREAK7|SCREENBREAK8,map,Screenbreak rotating trio
runtime_state,GRATE1,BGRATE1,map,Grate break replacement state
runtime_state,COLAMACHINE|SCREENBREAK1|SCREENBREAK2|SCREENBREAK3|SCREENBREAK4|SCREENBREAK5|SCREENBREAK6|SCREENBREAK7|SCREENBREAK8|SCREENBREAK9|SCREENBREAK10|SCREENBREAK11|SCREENBREAK12|SCREENBREAK13|276|277|278|279|280|281,W_SCREENBREAK|W_SCREENBREAK+1|W_SCREENBREAK+2,map,Wall screenbreak random replacement trio
runtime_state,W_TECHWALL1|W_TECHWALL2|W_TECHWALL3|W_TECHWALL4|4130|4131|4132|4133,W_HITTECHWALL1|W_HITTECHWALL2|W_HITTECHWALL3|W_HITTECHWALL4|4144|4145|4147,map,Tech wall broken replacement states
runtime_state,FEM1,FEM1+19|FEM1+20|FEM1+21,map,FEM1 stripper tip dance frames
spawn_whitelist,RUBBERCAN,RAT,map,Rubber can explosion rat spawns
spawn_whitelist,EGG,GREENSLIME..GREENSLIME+7,map,Egg hatch slime frames
spawn_whitelist,LIZTROOP|LIZTROOPRUNNING|LIZTROOPSHOOT|LIZTROOPJETPACK|LIZTROOPONTOILET|LIZTROOPDUCKING,TRANSPORTERSTAR..TRANSPORTERSTAR+5|FRAMEEFFECT1,map,Trooper hide/respawn teleport effects
spawn_whitelist,LIZMAN|LIZMANSPITTING|LIZMANJUMP|LIZMANFEEDING,FECES,map,Lizman random feces spawn
spawn_whitelist,TRASH,TRASH..TRASH+6,map,Trash blowing paper frames
